0	0
1	0
2	0
3	0
4	2734
5	2119
6	2368
7	2356
8	2537
9	2544
10	2632
11	2542
12	2747
13	2782
14	2768
15	2946
16	2985
17	3013
18	3224
19	3368
20	3570
21	3596
22	3849
23	4016
24	4329
25	4628
26	4804
27	5053
28	5283
29	5133
30	4923
31	5140
32	4979
33	4987
34	4875
35	4821
36	4639
37	4711
38	4506
39	4625
40	4577
41	4516
42	4507
43	4360
44	4390
45	4459
46	4378
47	4254
48	4191
49	4152
50	4037
51	3913
52	3846
53	3933
54	3816
55	3889
56	3844
57	3750
58	3700
59	3710
60	3544
61	3621
62	3539
63	3396
64	3547
65	3459
66	3399
67	3458
68	3438
69	3355
70	3367
71	3369
72	3288
73	3389
74	3351
75	3374
76	3427
77	3525
78	3480
79	3718
80	3430
81	3535
82	3526
83	3525
84	3543
85	3450
86	3564
87	3443
88	3413
89	3473
90	3285
91	3200
92	3175
93	3109
94	3228
95	3108
96	3036
97	3062
98	3015
99	3078
100	2959
101	2965
102	3021
103	3038
104	2842
105	2896
106	2940
107	2780
108	2909
109	2885
110	2827
111	2876
112	2812
113	2744
114	2760
115	2677
116	2692
117	2662
118	2691
119	2590
120	2581
121	2651
122	2581
123	2527
124	2659
125	2573
126	2565
127	2524
128	2548
129	2485
130	2484
131	2463
132	2449
133	2452
134	2438
135	2429
136	2322
137	2424
138	2376
139	2428
140	2304
141	2302
142	2355
143	2300
144	2402
145	2368
146	2330
147	2273
148	2301
149	2335
150	2269
151	2301
152	2363
153	2284
154	2308
155	2250
156	2240
157	2347
158	2170
159	2270
160	2235
161	2302
162	2295
163	2168
164	2156
165	2215
166	2226
167	2224
168	2171
169	2231
170	2190
171	2178
172	2129
173	2205
174	2159
175	2130
176	2167
177	2176
178	2249
179	2210
180	2069
181	2199
182	2170
183	2195
184	2222
185	2269
186	2204
187	2196
188	2079
189	2204
190	2164
191	2213
192	2156
193	2204
194	2063
195	2067
196	2049
197	2160
198	2144
199	2092
200	2078
201	2058
202	2194
203	2206
204	2078
205	2191
206	2125
207	2131
208	2131
209	2139
210	2190
211	2245
212	2123
213	2187
214	2134
215	2169
216	2149
217	2164
218	2145
219	2151
220	2197
221	2162
222	2136
223	2131
224	2065
225	2190
226	2090
227	2153
228	2160
229	2128
230	2129
231	2171
232	2194
233	2157
234	2124
235	2180
236	2151
237	2077
238	2179
239	2152
240	2204
241	2152
242	2164
243	2155
244	2172
245	2186
246	2127
247	2157
248	2163
249	2133
250	2186
251	2188
252	2066
253	2194
254	2100
255	2204
256	2222
257	2180
258	2107
259	2175
260	2210
261	2198
262	2136
263	2211
264	2263
265	2300
266	2197
267	2265
268	2190
269	2301
270	2304
271	2201
272	2288
273	2255
274	2263
275	2279
276	2145
277	2267
278	2281
279	2202
280	2256
281	2330
282	2270
283	2319
284	2253
285	2283
286	2249
287	2350
288	2260
289	2450
290	2397
291	2439
292	2369
293	2387
294	2368
295	2412
296	2419
297	2458
298	2388
299	2358
300	2409
301	2439
302	2442
303	2444
304	2426
305	2415
306	2406
307	2413
308	2474
309	2416
310	2414
311	2441
312	2474
313	2491
314	2485
315	2426
316	2485
317	2398
318	2371
319	2547
320	2442
321	2506
322	2514
323	2467
324	2416
325	2270
326	2255
327	2330
328	2224
329	2184
330	2142
331	2098
332	2071
333	2017
334	1966
335	1955
336	1974
337	1905
338	1960
339	1774
340	1845
341	1899
342	1830
343	1718
344	1765
345	1741
346	1707
347	1707
348	1677
349	1624
350	1675
351	1633
352	1686
353	1620
354	1601
355	1604
356	1609
357	1650
358	1566
359	1598
360	1554
361	1582
362	1474
363	1543
364	1564
365	1561
366	1557
367	1568
368	1542
369	1571
370	1534
371	1544
372	1478
373	1457
374	1552
375	1509
376	1390
377	1468
378	1418
379	1342
380	1433
381	1360
382	1362
383	1341
384	1372
385	1291
386	1381
387	1345
388	1448
389	1466
390	1532
391	1620
392	1872
393	1941
394	2245
395	2450
396	2748
397	3019
398	3435
399	3812
400	4342
401	4730
402	5152
403	5732
404	6133
405	6779
406	7155
407	7472
408	8002
409	8066
410	8166
411	8204
412	8177
413	8011
414	7989
415	7706
416	7217
417	6934
418	6373
419	5981
420	5394
421	4957
422	4426
423	3857
424	3533
425	2988
426	2709
427	2336
