1	0
2	0
3	13033
4	10640
5	12078
6	16257
7	32203
8	41283
9	37157
10	41177
11	34008
12	21023
13	18525
14	20495
15	25533
16	33507
17	45775
18	72469
19	119854
20	132353
21	84115
22	49929
23	44497
24	47190
25	49304
26	50801
27	53733
28	56970
29	55514
30	51764
31	48359
32	47304
33	46814
34	46201
35	45396
36	45009
37	45255
38	44962
39	43405
40	42025
41	40153
42	39074
43	38517
44	37034
45	36013
46	35351
47	33949
48	33175
49	32369
50	31835
51	30649
52	30282
53	29448
54	29407
55	29107
56	28320
57	28131
58	27256
59	27114
60	26459
61	25814
62	25516
63	24800
64	24364
65	24289
66	23746
67	23673
68	23349
69	23037
70	22667
71	22013
72	21624
73	21275
74	19868
75	18972
76	18203
77	17386
78	16991
79	16545
80	15981
81	15918
82	15692
83	15153
84	14737
85	14745
86	14687
87	14300
88	13931
89	13850
90	13491
91	13171
92	12777
93	12569
94	12243
95	11694
96	11864
97	11437
98	11635
99	11627
100	11602
101	11494
102	11443
103	11190
104	11002
105	10812
106	10312
107	10207
108	9850
109	9674
110	9421
111	9296
112	8955
113	8930
114	8582
115	8657
116	8526
117	8311
118	8440
119	8371
120	8445
121	8086
122	7971
123	7997
124	8100
125	7963
126	7898
127	7738
128	7805
129	7779
130	7604
131	7371
132	7175
133	7138
134	6949
135	6725
136	6672
137	6546
138	6375
139	6365
140	6173
141	6124
142	6021
143	5889
144	5828
145	5934
146	6080
147	5843
148	5922
149	5786
150	5900
151	5639
152	5701
153	5733
154	5500
155	5244
156	5146
157	5019
158	4938
159	4745
160	4699
161	4736
162	4606
163	4641
164	4752
165	4822
166	4873
167	4908
168	4987
169	5012
170	5147
171	4997
172	5081
173	5099
174	5200
175	5362
176	5270
177	5280
178	5530
179	5847
180	6314
181	6801
182	7556
183	8793
184	10152
185	11661
186	13462
187	15268
188	17244
189	18754
190	20116
191	21189
192	21427
193	21206
194	20676
195	18960
196	17144
197	15382
198	13149
199	11119
200	9357
201	7724
202	6401
203	5494
204	4722
205	4005
206	3762
207	3484
208	3398
209	3238
210	3214
211	3204
212	3124
213	3115
214	3186
215	3145
216	3199
217	3150
218	3113
219	3147
220	3166
221	3219
222	3089
223	3109
224	3095
225	3210
226	3097
227	3171
228	3268
229	3135
230	3275
231	3177
232	3346
233	3440
234	3565
235	3489
236	3660
237	3667
238	3908
239	3830
240	3862
241	3896
242	3909
243	3885
244	3756
245	3809
246	3712
247	3590
248	3573
249	3352
250	3296
251	3218
252	3233
253	3287
254	3196
255	3222
256	3124
257	3090
258	3208
259	3237
260	3133
261	3174
262	3170
263	3146
264	3065
265	3017
266	3101
267	3109
268	2854
269	2777
270	2838
271	2786
272	2751
273	2742
274	2725
275	2702
276	2622
277	2538
278	2485
279	2481
280	2487
281	2335
282	2341
283	2366
284	2275
285	2191
286	2163
287	2251
288	2147
289	2010
290	2104
291	2039
292	2040
293	1989
294	2068
295	2077
296	2094
297	2034
298	2047
299	1940
300	1978
301	2052
302	1915
303	1919
304	2034
305	1996
306	1995
307	1995
308	2030
309	2037
310	1915
311	1934
312	2014
313	2034
314	1944
315	2022
316	2076
317	2136
318	2184
319	2175
320	2427
321	2350
322	2616
323	2782
324	3120
325	3289
326	3735
327	3976
328	4411
329	4916
330	5366
331	5722
332	6111
333	6353
334	6638
335	6951
336	6990
337	6882
338	6764
339	6680
340	6299
341	6168
342	5542
343	5201
344	4666
345	4246
346	3769
347	3192
348	2851
349	2459
350	2210
351	1868
352	1617
353	1430
354	1279
355	1205
356	1067
357	1070
358	1054
359	942
360	949
361	1008
362	1068
363	1150
364	1197
365	1256
366	1417
367	1497
368	1751
369	2005
370	2332
371	2578
372	2925
373	3272
374	3586
375	3856
376	4419
377	4642
378	4783
379	5069
380	5237
381	5189
382	5418
383	5432
384	5236
385	4999
386	4748
387	4494
388	4099
389	3779
390	3416
391	3085
392	2835
393	2464
394	2202
395	1868
396	1553
397	1495
398	1333
399	1128
400	1068
401	1036
402	904
403	956
404	957
405	999
406	972
407	1081
408	1142
409	1244
410	1335
411	1356
412	1521
413	1643
414	1705
415	1811
416	1719
417	2003
418	1949
419	2016
420	1955
421	1993
422	1931
423	1797
424	1667
425	1631
426	1539
427	1419
428	1324
429	1206
430	1147
431	996
432	903
433	855
434	671
435	642
436	635
437	571
438	517
439	456
440	438
441	413
442	382
443	365
444	353
445	345
446	315
447	343
448	326
449	322
450	325
451	310
452	323
453	306
454	333
455	303
456	324
457	319
458	320
459	292
460	283
461	321
462	324
463	324
464	297
465	278
466	271
467	274
468	267
469	281
470	262
471	290
472	273
473	285
474	305
475	263
476	265
477	266
478	239
479	247
480	248
481	274
482	243
483	246
484	229
485	272
486	261
487	271
488	256
489	261
490	230
491	258
492	280
493	265
494	271
495	284
496	287
497	276
498	295
499	321
500	298
501	282
502	290
503	310
504	267
505	0
506	0
507	0
508	0
509	0
510	0
511	0
512	0
